licence,capacity,start_time,startX,startY 
2013001696,4,2013-11-18 15:00:58,-73.9571722,-40.7859848
2013003210,4,2013-11-18 15:00:58,-73.9642995,-40.7646823
2013005636,4,2013-11-18 15:00:58,-73.9620184,-40.7678094
2013004227,5,2013-11-18 15:00:59,-74.011576,-40.704019
2013012798,4,2013-11-18 15:00:59,-73.9636198,-40.7684845
2013001686,4,2013-11-18 15:00:59,-73.9504398,-40.7865321
2013012415,4,2013-11-18 15:00:59,-74.0119281,-40.7028291
2013009625,3,2013-11-18 15:00:59,-73.968904,-40.769901
2013010519,4,2013-11-18 15:00:59,-73.983443,-40.747098
2013005122,2,2013-11-18 15:01:00,-73.7897465,-40.6433607
2013008528,2,2013-11-18 15:01:00,-73.9726737,-40.7858043
2013007990,6,2013-11-18 15:01:00,-73.9881847,-40.7747491
2013001800,5,2013-11-18 15:01:00,-74.0137307,-40.7137083
2013006386,6,2013-11-18 15:01:00,-74.015825,-40.7115217
2013010979,6,2013-11-18 15:01:00,-73.977201,-40.758538
2013002088,6,2013-11-18 15:01:00,-73.9568144,-40.8126067
2013008676,6,2013-11-18 15:01:00,-73.973968,-40.762967
2013000609,6,2013-11-18 15:01:00,-73.9808828,-40.7592744
2013005090,6,2013-11-18 15:01:00,-73.9650969,-40.7691072
2013011626,2,2013-11-18 15:01:00,-73.971679,-40.746297
2013000601,4,2013-11-18 15:01:00,-73.9786487,-40.7858192
2013004117,2,2013-11-18 15:01:00,-73.985428,-40.741471
2013000141,6,2013-11-18 15:01:00,-73.9783287,-40.7831525
2013008442,2,2013-11-18 15:01:00,-73.9656637,-40.7903601
2013002130,4,2013-11-18 15:01:00,-73.998524,-40.719786
2013004095,5,2013-11-18 15:01:00,-73.993739,-40.741617
2013002456,5,2013-11-18 15:01:00,-73.9832025,-40.7503045
2013000038,6,2013-11-18 15:01:00,-73.990067,-40.746659
2013008298,6,2013-11-18 15:01:00,-73.977201,-40.758538
2013004194,6,2013-11-18 15:01:00,-74.0030758,-40.739073
2013005781,5,2013-11-18 15:01:00,-73.9570636,-40.7801184
2013004778,3,2013-11-18 15:01:00,-73.9815997,-40.7496412
2013007929,5,2013-11-18 15:01:00,-73.987726,-40.738317
2013012389,1,2013-11-18 15:01:00,-74.0144148,-40.706088
2013009504,6,2013-11-18 15:01:00,-73.7912621,-40.6458887
2013006059,6,2013-11-18 15:01:00,-73.9707975,-40.7797899
2013001723,5,2013-11-18 15:01:00,-73.9865537,-40.7180979
2013012457,3,2013-11-18 15:01:00,-73.9832025,-40.7503045
2013001741,6,2013-11-18 15:01:00,-73.9555856,-40.7794952
2013006349,2,2013-11-18 15:01:00,-73.9775627,-40.7520707
2013004832,6,2013-11-18 15:01:00,-73.9559988,-40.7678043
2013002857,5,2013-11-18 15:01:00,-73.986399,-40.7517
2013005734,2,2013-11-18 15:01:00,-73.990276,-40.756567
